"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","45.4","14.0","13.0","21.2","2.7","0.5","345.3","5,812.8","116.8"
"Denver Broncos","","52.5","12.5","11.1","16.2","2.6","0.5","342.3","5,404.1","116.4"
"Philadelphia Eagles","","45.7","13.5","13.3","22.5","2.7","0.0","344.0","5,513.6","115.6"
"Houston Texans","","47.6","15.2","10.0","14.1","2.7","0.5","349.6","5,509.8","115.1"
"Baltimore Ravens","","52.4","14.0","9.7","13.7","2.3","0.0","341.0","5,360.1","113.6"
"Dallas Cowboys","","51.9","12.0","10.3","16.6","2.6","0.0","397.7","5,929.7","111.8"
"Pittsburgh Steelers","","44.1","13.6","12.1","20.1","2.5","0.0","348.1","5,700.5","110.4"
"Green Bay Packers","","46.1","12.6","11.7","18.4","2.2","0.5","363.0","5,655.1","108.7"
"Minnesota Vikings","","45.7","13.6","10.3","15.2","2.5","0.0","356.8","5,308.2","108.5"
"New York Giants","","50.7","10.5","11.9","19.2","2.2","0.0","419.7","5,853.2","108.3"
"Detroit Lions","","43.1","13.8","9.6","14.2","2.5","0.0","375.1","5,794.8","104.9"
"Los Angeles Chargers","","46.9","12.3","9.9","15.3","2.1","0.0","371.0","5,822.1","103.6"
"San Francisco 49ers","","42.9","13.3","8.9","14.1","2.3","1.0","385.2","5,662.2","103.2"
"Tampa Bay Buccaneers","","44.2","11.7","11.0","16.7","2.0","0.5","375.1","5,746.4","102.7"
"Washington Commanders","","45.9","11.1","10.3","16.0","2.1","0.5","399.2","6,109.4","102.4"
"Kansas City Chiefs","","45.7","11.8","9.3","14.2","2.2","0.5","348.4","5,594.7","102.2"
"Los Angeles Rams","","44.7","12.7","8.7","14.3","2.2","0.5","376.2","5,929.8","101.9"
"Chicago Bears","","40.5","13.0","10.2","17.3","2.2","0.5","386.8","5,920.1","100.9"
"Seattle Seahawks","","45.1","12.7","8.6","14.2","2.0","0.5","362.9","5,653.5","100.9"
"Indianapolis Colts","","40.9","12.6","9.6","15.3","2.2","1.0","403.5","5,695.0","100.6"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","418.0","5,983.3","98.7"
"New York Jets","","43.0","12.0","9.5","14.3","1.8","0.5","388.2","5,406.9","98.0"
"Arizona Cardinals","","41.5","11.7","8.9","14.7","2.1","1.0","399.7","5,826.3","97.1"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.5","6,167.3","96.2"
"Las Vegas Raiders","","42.6","11.0","8.0","12.5","1.9","0.5","420.2","5,787.7","93.2"
"Miami Dolphins","","39.9","11.2","8.7","13.1","2.0","0.5","393.6","5,722.8","92.5"
"Atlanta Falcons","","39.4","11.6","8.5","14.0","1.9","0.5","414.0","6,032.8","92.2"
"Jacksonville Jaguars","","39.1","11.7","8.2","11.7","2.0","0.5","415.5","5,890.0","91.6"
"New Orleans Saints","","37.9","13.1","7.6","9.8","1.8","0.0","390.2","5,863.3","90.2"
"Tennessee Titans","","39.8","10.7","8.6","14.4","1.7","0.5","423.6","5,751.9","89.5"
"New England Patriots","","36.1","11.5","8.2","11.6","1.7","0.0","403.5","5,560.6","85.4"
"Carolina Panthers","","34.7","11.2","7.8","11.4","1.7","0.0","442.6","6,336.3","83.0"
""
""
