"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG","Real-Time (?)"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1.0","4  -3"
"2","Bijan Robinson","ATL","5","RB1","3","2","2.5","3  -1"
"3","Saquon Barkley","PHI","9","RB2","2","4","3.0","1  +2"
"4","Jahmyr Gibbs","DET","8","RB3","5","3","4.0","2  +2"
"5","Justin Jefferson","MIN","6","WR2","4","6","5.0","8  -3"
"6","CeeDee Lamb","DAL","10","WR3","6","5","5.5","5  +1"
"7","Malik Nabers","NYG","14","WR4","9","8","8.5","11  -4"
"8","Amon-Ra St. Brown","DET","8","WR5","8","10","9.0","10  -2"
"9","Ashton Jeanty","LV","8","RB4","11","9","10.0","9"
"10","Christian McCaffrey","SF","14","RB5","14","7","10.5","7  +3"
"11","Puka Nacua","LAR","8","WR6","7","15","11.0","17  -6"
"12","Derrick Henry","BAL","7","RB6","10","12","11.0","6  +6"
"13","Nico Collins","HOU","6","WR7","12","11","11.5","12  +1"
"14","Brian Thomas Jr.","JAC","8","WR8","13","13","13.0","14"
"15","De'Von Achane","MIA","12","RB7","16","14","15.0","18  -3"
"16","Bucky Irving","TB","9","RB8","17","18","17.5","22  -6"
"17","Brock Bowers","LV","8","TE1","15","21","18.0","23  -6"
"18","Josh Jacobs","GB","5","RB9","20","16","18.0","13  +5"
"19","Drake London","ATL","5","WR9","18","19","18.5","16  +3"
"20","Jonathan Taylor","IND","11","RB10","23","20","21.5","15  +5"
"21","A.J. Brown","PHI","9","WR10","19","25","22.0","24  -3"
"22","Chase Brown","CIN","10","RB11","28","17","22.5","21  +1"
"23","Josh Allen","BUF","7","QB1","22","23","22.5","19  +4"
"24","Lamar Jackson","BAL","7","QB2","25","22","23.5","20  +4"
"25","Ladd McConkey","LAC","12","WR11","21","29","25.0","27  -2"
"26","Trey McBride","ARI","8","TE2","24","26","25.0","29  -3"
"27","Kyren Williams","LAR","8","RB12","27","24","25.5","25  +2"
"28","Jayden Daniels","WAS","12","QB3","30","27","28.5","30  -2"
"29","Tyreek Hill","MIA","12","WR12","29","30","29.5","37  -8"
"30","Jaxon Smith-Njigba","SEA","8","WR13","26","35","30.5","36  -6"
"31","James Cook","BUF","7","RB13","35","31","33.0","26  +5"
"32","Breece Hall","NYJ","9","RB14","33","33","33.0","42  -10"
"33","Omarion Hampton","LAC","12","RB15","39","28","33.5","33"
"34","Tee Higgins","CIN","10","WR14","31","36","33.5","28  +6"
"35","Garrett Wilson","NYJ","9","WR15","32","41","36.5","43  -8"
"36","Joe Burrow","CIN","10","QB4","43","32","37.5","39  -3"
"37","Jalen Hurts","PHI","9","QB5","40","37","38.5","32  +5"
"38","Alvin Kamara","NO","11","RB16","44","34","39.0","41  -3"
"39","George Kittle","SF","14","TE3","38","40","39.0","31  +8"
"40","Terry McLaurin","WAS","12","WR16","34","45","39.5","40"
"41","Marvin Harrison Jr.","ARI","8","WR17","36","44","40.0","35  +6"
"42","Mike Evans","TB","9","WR18","37","46","41.5","34  +8"
"43","Kenneth Walker III","SEA","8","RB17","45","38","41.5","38  +5"
"44","Davante Adams","LAR","8","WR19","42","43","42.5","46  -2"
"45","Chuba Hubbard","CAR","14","RB18","47","42","44.5","45"
"46","DJ Moore","CHI","5","WR20","48","48","48.0","54  -8"
"47","James Conner","ARI","8","RB19","51","49","50.0","44  +3"
"48","DK Metcalf","PIT","5","WR21","49","52","50.5","48"
"49","Courtland Sutton","DEN","12","WR22","50","51","50.5","58  -9"
"50","TreVeyon Henderson","NE","14","RB20","63","39","51.0","47  +3"
"51","Rashee Rice","KC","10","WR23","41","66","53.5","71  -20"
"52","RJ Harvey","DEN","12","RB21","58","50","54.0","50  +2"
"53","DeVonta Smith","PHI","9","WR24","54","58","56.0","59  -6"
"54","Tetairoa McMillan","CAR","14","WR25","60","53","56.5","63  -9"
"55","David Montgomery","DET","8","RB22","55","59","57.0","56  -1"
"56","Sam LaPorta","DET","8","TE4","52","65","58.5","55  +1"
"57","Patrick Mahomes II","KC","10","QB6","64","54","59.0","49  +8"
"58","Xavier Worthy","KC","10","WR26","56","62","59.0","52  +6"
"59","Jameson Williams","DET","8","WR27","57","61","59.0","61  -2"
"60","Isiah Pacheco","KC","10","RB23","62","57","59.5","57  +3"
"61","D'Andre Swift","CHI","5","RB24","75","47","61.0","60  +1"
"62","Zay Flowers","BAL","7","WR28","53","69","61.0","62"
"63","Joe Mixon","HOU","6","RB25","46","78","62.0","98  -35"
"64","George Pickens","DAL","10","WR29","61","64","62.5","51  +13"
"65","Aaron Jones Sr.","MIN","6","RB26","67","60","63.5","65"
"66","Tony Pollard","TEN","10","RB27","73","55","64.0","53  +13"
"67","Calvin Ridley","TEN","10","WR30","77","56","66.5","66  +1"
"68","T.J. Hockenson","MIN","6","TE5","59","75","67.0","69  -1"
"69","Travis Hunter","JAC","8","WR31","65","73","69.0","73  -4"
"70","Jerry Jeudy","CLE","9","WR32","71","67","69.0","84  -14"
"71","Travis Kelce","KC","10","TE6","76","63","69.5","67  +4"
"72","Baker Mayfield","TB","9","QB7","74","68","71.0","77  -5"
"73","Jaylen Waddle","MIA","12","WR33","68","77","72.5","64  +9"
"74","Chris Olave","NO","11","WR34","69","76","72.5","79  -5"
"75","Kaleb Johnson","PIT","5","RB28","79","70","74.5","70  +5"
"76","Tyrone Tracy Jr.","NYG","14","RB29","80","71","75.5","74  +2"
"77","Bo Nix","DEN","12","QB8","85","72","78.5","68  +9"
"78","Jaylen Warren","PIT","5","RB30","87","74","80.5","81  -3"
"79","Rome Odunze","CHI","5","WR35","78","85","81.5","76  +3"
"80","Jordan Addison","MIN","6","WR36","70","95","82.5","97  -17"
"81","Quinshon Judkins","CLE","9","RB31","66","101","83.5","125  -44"
"82","Deebo Samuel Sr.","WAS","12","WR37","88","80","84.0","82"
"83","Chris Godwin Jr.","TB","9","WR38","72","103","87.5","122  -39"
"84","Stefon Diggs","NE","14","WR39","94","81","87.5","85  -1"
"85","Ricky Pearsall","SF","14","WR40","97","79","88.0","78  +7"
"86","Mark Andrews","BAL","7","TE7","82","94","88.0","72  +14"
"87","Jakobi Meyers","LV","8","WR41","84","93","88.5","89  -2"
"88","Travis Etienne Jr.","JAC","8","RB32","90","87","88.5","93  -5"
"89","Cooper Kupp","SEA","8","WR42","92","86","89.0","103  -14"
"90","Evan Engram","DEN","12","TE8","91","88","89.5","90"
"91","Brian Robinson Jr.","SF","14","RB33","81","100","90.5","119  -28"
"92","Matthew Golden","GB","5","WR43","100","84","92.0","92"
"93","Khalil Shakir","BUF","7","WR44","83","104","93.5","114  -21"
"94","Kyler Murray","ARI","8","QB9","96","91","93.5","87  +7"
"95","Zach Charbonnet","SEA","8","RB34","108","90","99.0","96  -1"
"96","Emeka Egbuka","TB","9","WR45","117","82","99.5","75  +21"
"97","Jordan Mason","MIN","6","RB35","116","83","99.5","80  +17"
"98","Jared Goff","DET","8","QB10","98","102","100.0","111  -13"
"99","Jauan Jennings","SF","14","WR46","102","98","100.0","105  -6"
"100","Tyler Warren","IND","11","TE9","101","99","100.0","91  +9"
"101","Javonte Williams","DAL","10","RB36","104","97","100.5","109  -8"
"102","David Njoku","CLE","9","TE10","99","105","102.0","94  +8"
"103","Dak Prescott","DAL","10","QB11","121","89","105.0","86  +17"
"104","Caleb Williams","CHI","5","QB12","115","96","105.5","121  -17"
"105","Jayden Reed","GB","5","WR47","95","118","106.5","110  -5"
"106","Cam Skattebo","NYG","14","RB37","106","107","106.5","107  -1"
"107","Rhamondre Stevenson","NE","14","RB38","105","112","108.5","113  -6"
"108","Najee Harris","LAC","12","RB39","89","129","109.0","149  -41"
"109","Brock Purdy","SF","14","QB13","111","109","110.0","83  +26"
"110","Michael Pittman Jr.","IND","11","WR48","110","113","111.5","112  -2"
"111","J.K. Dobbins","DEN","12","RB40","132","92","112.0","95  +16"
"112","Justin Herbert","LAC","12","QB14","109","115","112.0","115  -3"
"113","Josh Downs","IND","11","WR49","103","123","113.0","132  -19"
"114","Colston Loveland","CHI","5","TE11","120","106","113.0","126  -12"
"115","Tyjae Spears","TEN","10","RB41","112","116","114.0","162  -47"
"116","Tucker Kraft","GB","5","TE12","114","114","114.0","88  +28"
"117","Justin Fields","NYJ","9","QB15","124","108","116.0","108  +9"
"118","Jonnu Smith","PIT","5","TE13","86","148","117.0","167  -49"
"119","Brandon Aiyuk","SF","14","WR50","93","142","117.5","155  -36"
"120","Keon Coleman","BUF","7","WR51","118","121","119.5","116  +4"
"121","Tank Bigsby","JAC","8","RB42","131","110","120.5","100  +21"
"122","Darnell Mooney","ATL","5","WR52","107","135","121.0","139  -17"
"123","Jaydon Blue","DAL","10","RB43","139","111","125.0","143  -20"
"124","Drake Maye","NE","14","QB16","130","120","125.0","120  +4"
"125","Jake Ferguson","DAL","10","TE14","122","128","125.0","129  -4"
"126","Dalton Kincaid","BUF","7","TE15","113","140","126.5","131  -5"
"127","Jayden Higgins","HOU","6","WR53","119","134","126.5","158  -31"
"128","Rachaad White","TB","9","RB44","126","127","126.5","141  -13"
"129","Austin Ekeler","WAS","12","RB45","142","117","129.5","118  +11"
"130","C.J. Stroud","HOU","6","QB17","127","132","129.5","138  -8"
"131","Jordan Love","GB","5","QB18","123","141","132.0","136  -5"
"132","Bhayshul Tuten","JAC","8","RB46","137","133","135.0","127  +5"
"133","J.J. McCarthy","MIN","6","QB19","140","131","135.5","145  -12"
"134","Marvin Mims Jr.","DEN","12","WR54","135","137","136.0","153  -19"
"135","Jerome Ford","CLE","9","RB47","152","122","137.0","150  -15"
"136","Trey Benson","ARI","8","RB48","149","126","137.5","144  -8"
"137","Kyle Pitts Sr.","ATL","5","TE16","136","139","137.5","140  -3"
"138","Rashid Shaheed","NO","11","WR55","129","150","139.5","130  +8"
"139","Rico Dowdle","CAR","14","RB49","134","146","140.0","175  -36"
"140","Trevor Lawrence","JAC","8","QB20","145","136","140.5","163  -23"
"141","Dallas Goedert","PHI","9","TE17","125","157","141.0","134  +7"
"142","Luther Burden III","CHI","5","WR56","133","149","141.0","170  -28"
"143","Ray Davis","BUF","7","RB50","146","138","142.0","151  -8"
"144","Isaac Guerendo","SF","14","RB51","144","143","143.5","176  -32"
"145","Tre' Harris","LAC","12","WR57","128","161","144.5","195  -50"
"146","Christian Kirk","HOU","6","WR58","138","151","144.5","154  -8"
"147","Braelon Allen","NYJ","9","RB52","174","119","146.5","104  +43"
"148","Nick Chubb","HOU","6","RB53","172","124","148.0","123  +25"
"149","Tyler Allgeier","ATL","5","RB54","153","145","149.0","161  -12"
"150","Tua Tagovailoa","MIA","12","QB21","162","144","153.0","191  -41"
"151","Marquise Brown","KC","10","WR59","150","158","154.0","193  -42"
"152","Hunter Henry","NE","14","TE18","156","153","154.5","159  -7"
"153","Keenan Allen","LAC","12","WR60","184","130","157.0","148  +5"
"154","Dylan Sampson","CLE","9","RB55","168","147","157.5","146  +8"
"155","Denver Broncos","DST","12","DST1","155","163","159.0","101  +54"
