"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","519.6","333.0","3,905.8","28.9","10.4","115.7","571.6","10.7","3.4","376.0"
"Lamar Jackson","BAL","477.8","319.5","3,874.0","32.3","8.3","134.7","827.7","3.9","4.5","373.1"
"Jalen Hurts","PHI","461.3","311.6","3,536.1","23.7","8.9","147.3","633.3","12.6","3.9","358.7"
"Jayden Daniels","WAS","533.1","362.2","3,879.6","26.8","10.6","137.5","749.6","5.6","2.5","355.4"
"Joe Burrow","CIN","626.7","434.0","4,661.3","35.8","10.5","48.2","179.8","2.1","3.8","342.2"
"Patrick Mahomes II","KC","605.5","409.9","4,282.4","30.3","12.2","75.5","367.2","2.8","2.5","328.9"
"Baker Mayfield","TB","552.4","382.6","4,154.0","32.5","14.7","64.2","287.7","2.6","3.9","317.9"
"Kyler Murray","ARI","540.5","366.1","3,816.7","24.2","11.1","88.6","551.4","5.1","3.8","316.3"
"Brock Purdy","SF","525.2","351.1","4,305.1","27.1","12.5","65.0","280.4","3.6","2.9","311.9"
"Bo Nix","DEN","557.5","364.5","3,789.5","27.2","12.0","88.7","422.3","3.5","2.0","308.0"
"Justin Fields","NYJ","497.4","309.3","3,248.2","19.4","11.1","135.3","745.0","6.1","3.8","299.8"
"J.J. McCarthy","MIN","563.3","366.8","4,084.7","28.4","14.5","57.3","258.1","2.0","3.8","292.6"
"Dak Prescott","DAL","602.1","396.2","4,255.4","27.7","12.2","42.5","178.5","1.9","3.0","291.7"
"Justin Herbert","LAC","539.5","353.8","3,972.8","25.8","8.6","65.4","271.9","2.6","2.5","291.5"
"Caleb Williams","CHI","565.2","359.1","3,784.2","23.7","10.4","86.6","469.3","2.4","4.5","288.3"
"Jared Goff","DET","550.6","380.9","4,356.3","30.3","11.5","30.3","61.5","0.5","2.9","287.3"
"C.J. Stroud","HOU","559.9","359.7","4,065.5","24.8","10.6","58.7","256.8","1.7","3.7","279.6"
"Jordan Love","GB","510.4","327.5","3,915.3","27.7","12.2","41.5","166.8","1.9","2.5","278.2"
"Drake Maye","NE","519.5","347.2","3,585.2","22.4","12.7","75.0","478.1","3.0","4.8","276.5"
"Trevor Lawrence","JAC","553.3","355.2","3,996.4","23.3","13.0","54.5","252.4","3.0","4.1","275.5"
"Michael Penix Jr.","ATL","541.5","347.1","3,914.3","23.5","13.2","51.8","196.2","2.1","3.2","263.2"
