"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","327.8","1,661.5","10.8","41.9","318.1","2.2","1.4","273.2"
"Bijan Robinson","ATL","304.2","1,419.2","11.4","57.7","438.3","2.2","1.4","264.5"
"Jahmyr Gibbs","DET","239.9","1,239.5","11.7","57.7","508.5","2.8","1.3","258.9"
"Derrick Henry","BAL","295.1","1,508.5","13.3","16.4","153.1","0.9","1.4","248.4"
"Christian McCaffrey","SF","238.7","1,085.7","7.9","64.9","563.6","3.5","1.8","229.8"
"Josh Jacobs","GB","284.2","1,210.8","11.3","38.1","316.0","1.5","1.5","226.0"
"Jonathan Taylor","IND","302.2","1,381.2","10.4","28.9","206.4","1.3","1.6","225.6"
"De'Von Achane","MIA","222.1","1,031.4","7.8","69.3","512.1","4.1","1.3","222.8"
"Ashton Jeanty","LV","272.7","1,203.4","9.0","45.9","362.7","1.9","2.4","216.9"
"Kyren Williams","LAR","275.5","1,191.7","11.2","33.7","213.5","1.7","2.3","213.0"
"Bucky Irving","TB","234.5","1,110.8","8.3","44.4","343.6","1.7","1.4","202.5"
"Chase Brown","CIN","239.6","999.6","8.0","54.6","381.4","2.7","1.4","199.4"
"James Cook","BUF","227.1","1,068.9","9.6","31.4","258.7","1.9","1.4","198.9"
"Breece Hall","NYJ","223.4","996.2","5.9","47.5","388.8","2.2","1.9","183.0"
"James Conner","ARI","213.6","970.8","7.8","41.0","314.6","1.7","1.4","182.6"
"Kenneth Walker III","SEA","236.5","973.4","8.2","43.1","307.7","1.3","1.3","182.3"
"Omarion Hampton","LAC","222.5","970.0","8.5","35.7","276.0","1.5","2.1","180.4"
"Chuba Hubbard","CAR","240.1","1,066.6","7.8","37.9","230.6","1.0","1.8","179.3"
"Alvin Kamara","NO","215.6","903.4","5.1","63.0","475.6","2.0","1.3","178.0"
"D'Andre Swift","CHI","238.7","967.1","6.2","36.4","283.0","1.2","1.1","167.2"
"David Montgomery","DET","196.6","819.0","8.9","31.4","258.4","0.9","1.0","164.5"
"Aaron Jones Sr.","MIN","201.2","899.0","4.6","45.0","331.4","2.3","1.8","160.6"
"TreVeyon Henderson","NE","210.7","925.8","6.0","33.7","263.0","1.5","1.7","160.2"
