"TE","Overall","Player","Team","Bye","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG","Real-Time (?)"
"1","17","Brock Bowers","LV","8","1","1","1","1","1","1","1.0","1"
"2","27","Trey McBride","ARI","8","2","2","2","2","2","2","2.0","2"
"3","38","George Kittle","SF","14","3","3","3","3","3","3","3.0","3"
"4","52","Sam LaPorta","DET","8","4","4","4","4","5","4","4.2","4"
"5","65","T.J. Hockenson","MIN","6","5","5","7","5","6","5","5.5","5"
"6","60","Travis Kelce","KC","10","6","6","5","7","4","6","5.7","6"
"7","73","Mark Andrews","BAL","7","8","7","6","6","8","7","7.0","7"
"8","80","Evan Engram","DEN","12","9","8","9","8","7","8","8.2","8"
"9","82","David Njoku","CLE","9","7","9","8","10","10","10","9.0","9"
"10","88","Tyler Warren","IND","11","10","10","10","11","9","9","9.8","10"
"11","111","Colston Loveland","CHI","5","12","11","14","12","11","12","12.0","12  -1"
"12","109","Tucker Kraft","GB","5","11","15","11","13","12","11","12.2","11  +1"
"13","123","Dalton Kincaid","BUF","7","13","12","16","14","15","13","13.8","13"
"14","133","Jake Ferguson","DAL","10","15","16","15","17","13","14","15.0","15  -1"
"15","129","Kyle Pitts Sr.","ATL","5","16","13","17","15","14","16","15.2","14  +1"
"16","137","Dallas Goedert","PHI","9","14","17","13","16","18","15","15.5","16"
"17","145","Jonnu Smith","PIT","5","20","14","19","9","16","17","15.8","18  -1"
"18","153","Zach Ertz","WAS","12","18","18","12","19","19","18","17.3","17  +1"
"19","161","Hunter Henry","NE","14","17","20","18","20","17","20","18.7","19"
"20","183","Isaiah Likely","BAL","7","23","19","22","18","23","25","21.7","22  -2"
"21","190","Brenton Strange","JAC","8","24","21","21","29","20","19","22.3","20  +1"
"22","192","Darren Waller","MIA","12","19","22","20","22","27","30","23.3","23  -1"
"23","208","Cade Otton","TB","9","21","27","","23","21","23","23.0","25  -2"
"24","210","Pat Freiermuth","PIT","5","22","28","","21","26","22","23.8","26  -2"
"25","224","Dalton Schultz","HOU","6","30","29","","24","28","28","27.8","30  -5"
