"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","106.1","1,129.5","6.1","0.5","149.4"
"George Kittle","SF","75.8","1,029.4","7.5","0.5","146.8"
"Trey McBride","ARI","104.4","1,052.6","5.9","0.5","139.5"
"Sam LaPorta","DET","67.9","763.7","6.8","0.4","116.3"
"Mark Andrews","BAL","58.8","707.4","7.7","0.8","115.3"
"Travis Kelce","KC","80.7","771.9","5.3","0.9","107.3"
"T.J. Hockenson","MIN","76.3","800.3","4.7","0.5","107.0"
"David Njoku","CLE","76.8","740.6","4.9","0.8","101.9"
"Tyler Warren","IND","62.6","672.4","4.7","1.1","94.3"
"Tucker Kraft","GB","55.2","652.7","4.8","0.8","92.5"
"Kyle Pitts Sr.","ATL","50.9","641.6","4.2","0.1","89.2"
"Dallas Goedert","PHI","57.1","633.2","3.9","0.5","85.8"
"Zach Ertz","WAS","58.1","539.3","5.1","0.1","84.2"
"Dalton Kincaid","BUF","57.1","603.2","4.0","0.5","83.6"
"Evan Engram","DEN","68.9","613.9","4.0","0.9","83.4"
"Jake Ferguson","DAL","67.8","621.8","3.8","1.2","82.5"
"Hunter Henry","NE","55.0","574.7","3.9","0.4","79.8"
"Darren Waller","MIA","52.5","579.6","3.4","0.1","77.9"
"Isaiah Likely","BAL","41.4","495.4","4.8","0.7","77.1"
"Jonnu Smith","PIT","52.2","544.0","4.0","0.9","76.6"
"Colston Loveland","CHI","52.8","554.1","3.8","0.8","76.5"
"Cade Otton","TB","51.4","523.9","4.0","0.5","75.4"
"Brenton Strange","JAC","55.1","548.0","3.3","0.5","73.5"
"Mike Gesicki","CIN","52.8","518.4","3.6","0.4","72.7"
"Juwan Johnson","NO","48.8","500.8","3.3","0.2","69.5"
"Dalton Schultz","HOU","49.7","508.8","3.1","0.4","68.8"
"Chig Okonkwo","TEN","52.9","528.2","2.9","0.8","68.8"
"Pat Freiermuth","PIT","51.1","493.0","3.5","0.9","68.6"
"Tyler Higbee","LAR","45.3","424.8","3.7","0.1","64.4"
"Robbie Ouzts","SEA","48.0","477.0","3.0","1.0","63.7"
"Theo Johnson","NYG","43.1","472.3","2.7","0.1","63.2"
"Mason Taylor","NYJ","47.4","476.0","2.7","0.5","63.2"
"Elijah Arroyo","SEA","40.0","423.5","2.8","0.4","58.4"
"Will Dissly","LAC","38.6","378.1","2.5","0.1","53.0"
"Noah Fant","CIN","36.2","370.6","2.4","0.1","51.6"
"Ja'Tavion Sanders","CAR","38.5","389.4","2.1","0.1","51.1"
"Tyler Conklin","LAC","33.5","325.8","2.3","0.0","46.2"
"Noah Gray","KC","29.6","300.9","2.7","0.0","46.1"
"AJ Barner","SEA","33.0","309.1","2.4","0.1","45.2"
"Cole Kmet","CHI","30.0","288.6","2.3","0.4","41.7"
"Foster Moreau","NO","23.0","259.9","1.9","0.1","37.2"
"Austin Hooper","NE","26.6","264.0","1.7","0.4","35.7"
"Dawson Knox","BUF","21.9","238.0","1.9","0.0","35.2"
"Michael Mayer","LV","27.3","253.1","1.6","0.1","34.6"
"Terrance Ferguson","LAR","23.0","235.2","1.9","0.4","34.1"
"Josh Oliver","MIN","20.2","211.1","1.7","0.1","31.2"
"Harold Fannin Jr.","CLE","23.7","235.8","1.2","0.4","30.2"
"Oronde Gadsden II","LAC","19.1","195.2","1.6","0.1","28.8"
"Tommy Tremble","CAR","19.2","184.1","1.7","0.4","27.7"
"Luke Musgrave","GB","19.1","186.4","1.4","0.0","27.1"
"Brock Wright","DET","15.0","134.8","2.2","0.0","26.4"
"Ben Sinnott","WAS","18.0","177.0","1.5","0.1","26.4"
"Gunnar Helm","TEN","20.2","200.8","1.1","0.4","26.1"
"Taysom Hill","NO","12.3","104.7","0.7","0.3","24.8"
"Cade Stover","HOU","16.9","160.6","1.2","0.0","23.3"
"Jeremy Ruckert","NYJ","18.0","155.7","1.2","0.0","22.6"
"Adam Trautman","DEN","12.6","136.5","1.4","0.0","21.8"
"Charlie Woerner","ATL","14.6","138.9","1.1","0.0","20.3"
"Luke Schoonmaker","DAL","14.9","132.5","1.2","0.0","20.1"
"Jelani Woods","IND","8.0","137.0","1.0","0.0","19.7"
"Daniel Bellinger","NYG","14.9","139.8","0.8","0.0","18.9"
"Julian Hill","MIA","14.7","133.4","0.9","0.4","18.2"
