"WR","Overall","Player","Team","Bye","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG","Real-Time (?)"
"1","1","Ja'Marr Chase","CIN","10","1","1","1","1","1","1","1.0","1"
"2","5","Justin Jefferson","MIN","6","2","2","3","3","3","2","2.5","3  -1"
"3","6","CeeDee Lamb","DAL","10","3","4","2","2","2","3","2.7","2  +1"
"4","8","Amon-Ra St. Brown","DET","8","5","3","5","5","5","6","4.8","4"
"5","11","Puka Nacua","LAR","8","4","5","6","4","8","4","5.2","7  -2"
"6","9","Malik Nabers","NYG","14","6","6","4","6","4","5","5.2","5  +1"
"7","13","Nico Collins","HOU","6","7","7","7","9","6","7","7.2","6  +1"
"8","15","Brian Thomas Jr.","JAC","8","8","8","8","7","7","8","7.7","8"
"9","18","Drake London","ATL","5","10","9","9","10","9","9","9.3","9"
"10","20","A.J. Brown","PHI","9","9","10","10","8","10","10","9.5","10"
"11","26","Ladd McConkey","LAC","12","12","11","11","11","11","11","11.2","11"
"12","29","Tee Higgins","CIN","10","11","14","12","13","14","13","12.8","13  -1"
"13","31","Tyreek Hill","MIA","12","13","12","15","15","12","14","13.5","14  -1"
"14","33","Jaxon Smith-Njigba","SEA","8","15","13","16","17","13","12","14.3","12  +2"
"15","39","Mike Evans","TB","9","17","17","14","14","19","17","16.3","15"
"16","40","Davante Adams","LAR","8","14","19","13","20","15","18","16.5","19  -3"
"17","41","Garrett Wilson","NYJ","9","18","15","21","16","16","15","16.8","18  -1"
"18","44","Terry McLaurin","WAS","12","16","18","19","12","18","20","17.2","17  +1"
"19","43","Marvin Harrison Jr.","ARI","8","19","16","17","18","17","16","17.2","16  +3"
"20","48","DJ Moore","CHI","5","22","22","22","21","20","19","21.0","21  -1"
"21","49","DK Metcalf","PIT","5","20","20","18","24","22","24","21.3","20  +1"
"22","51","Courtland Sutton","DEN","12","24","23","23","23","21","22","22.7","22"
"23","53","Xavier Worthy","KC","10","21","26","20","27","27","21","23.7","25  -2"
"24","54","DeVonta Smith","PHI","9","27","24","24","25","25","23","24.7","23  +1"
"25","57","Jameson Williams","DET","8","31","29","27","22","26","25","26.7","28  -3"
"26","58","Rashee Rice","KC","10","25","21","33","19","29","34","26.8","29  -3"
"27","59","Zay Flowers","BAL","7","23","25","26","29","31","27","26.8","27"
"28","63","Tetairoa McMillan","CAR","14","33","28","28","30","23","26","28.0","26  +2"
"29","66","Calvin Ridley","TEN","10","26","32","29","28","24","30","28.2","30  -1"
"30","67","George Pickens","DAL","10","28","27","25","31","28","32","28.5","24  +6"
"31","70","Travis Hunter","JAC","8","32","30","36","26","32","29","30.8","32  -1"
"32","72","Jaylen Waddle","MIA","12","29","31","35","32","34","28","31.5","31  +1"
"33","74","Jerry Jeudy","CLE","9","30","33","30","39","30","35","32.8","36  -3"
"34","78","Chris Olave","NO","11","38","34","42","33","33","33","35.5","33  +1"
"35","77","Rome Odunze","CHI","5","34","35","40","34","40","31","35.7","34  +1"
"36","81","Deebo Samuel Sr.","WAS","12","42","37","32","38","36","36","36.8","39  -3"
"37","84","Jakobi Meyers","LV","8","36","36","31","45","42","37","37.8","38  -1"
"38","83","Stefon Diggs","NE","14","39","40","38","37","37","38","38.2","40  -2"
"39","87","Cooper Kupp","SEA","8","35","39","39","41","41","40","39.2","42  -3"
"40","89","Ricky Pearsall","SF","14","44","44","34","43","35","44","40.7","37  +3"
"41","90","Jordan Addison","MIN","6","46","38","44","36","43","39","41.0","43  -2"
"42","91","Matthew Golden","GB","5","37","41","43","44","39","43","41.2","41  +1"
"43","92","Emeka Egbuka","TB","9","43","42","37","48","38","42","41.7","35  +8"
"44","94","Chris Godwin Jr.","TB","9","40","45","45","35","45","49","43.2","48  -4"
"45","96","Khalil Shakir","BUF","7","45","43","46","40","46","41","43.5","45"
"46","101","Jauan Jennings","SF","14","48","46","47","42","44","45","45.3","44  +2"
"47","115","Michael Pittman Jr.","IND","11","41","49","41","53","47","46","46.2","47"
"48","117","Jayden Reed","GB","5","50","47","50","49","48","47","48.5","46  +2"
"49","119","Keon Coleman","BUF","7","47","51","48","51","49","51","49.5","49"
"50","122","Josh Downs","IND","11","54","48","51","50","50","50","50.5","50"
"51","138","Brandon Aiyuk","SF","14","57","52","55","47","55","56","53.7","55  -4"
"52","140","Darnell Mooney","ATL","5","52","53","49","56","52","61","53.8","54  -2"
"53","147","Jayden Higgins","HOU","6","53","50","58","60","53","54","54.7","52  +1"
"54","146","Rashid Shaheed","NO","11","51","54","56","57","57","53","54.7","51  +3"
"55","151","Keenan Allen","LAC","12","49","58","54","66","51","55","55.5","53  +2"
"56","150","Marvin Mims Jr.","DEN","12","58","55","59","55","54","52","55.5","56"
"57","152","Christian Kirk","HOU","6","63","59","52","54","58","48","55.7","57"
"58","160","Marquise Brown","KC","10","60","67","67","46","60","58","59.7","67  -9"
"59","166","Luther Burden III","CHI","5","64","56","60","63","56","59","59.7","59"
"60","172","Adam Thielen","CAR","14","55","61","61","62","68","60","61.2","60"
"61","171","Rashod Bateman","BAL","7","61","60","53","58","73","64","61.5","58  +3"
"62","178","Xavier Legette","CAR","14","56","65","63","61","66","62","62.2","68  -6"
"63","182","Wan'Dale Robinson","NYG","14","62","68","57","73","65","65","65.0","64  -1"
"64","191","Cedric Tillman","CLE","9","59","66","66","92","62","63","68.0","65  -1"
"65","209","Romeo Doubs","GB","5","","73","64","67","70","67","68.2","69  -4"
"66","214","DeMario Douglas","NE","14","","70","65","77","63","70","69.0","70  -4"
"67","220","Quentin Johnston","LAC","12","","79","62","78","85","69","74.6","78  -11"
"68","218","Tre' Harris","LAC","12","","57","","52","61","57","56.8","61  +7"
"69","229","Isaac TeSlaa","DET","8","65","77","","68","87","100","79.4","71  -2"
"70","231","DeAndre Hopkins","BAL","7","","72","","59","59","73","65.8","73  -3"
"71","232","Kyle Williams","NE","14","","62","","65","71","66","66.0","66  +5"
"72","234","Joshua Palmer","BUF","7","","64","","69","69","68","67.5","63  +9"
"73","237","Jack Bech","LV","8","","69","","70","64","76","69.8","77  -4"
"74","244","Troy Franklin","DEN","12","82","116","","84","74","94","90.0","86  -12"
"75","250","Tory Horton","SEA","8","96","78","","105","83","88","90.0","81  -6"
"76","252","Alec Pierce","IND","11","","81","","74","76","71","75.5","83  -7"
"77","251","Jalen McMillan","TB","9","","76","","64","67","99","76.5","88  -11"
"78","249","Dont'e Thornton Jr.","LV","8","","63","","80","72","93","77.0","62  +16"
"79","261","Elic Ayomanor","TEN","10","","71","","99","89","75","83.5","72  +7"
"80","262","Roman Wilson","PIT","5","90","103","","112","80","119","100.8","90  -10"
"81","265","Calvin Austin III","PIT","5","","89","","79","93","79","85.0","92  -11"
"82","264","Andrei Iosivas","CIN","10","","99","","81","78","86","86.0","91  -9"
"83","268","Jaylin Noel","HOU","6","","85","","118","82","72","89.3","89  -6"
"84","276","Adonai Mitchell","IND","11","","80","","107","92","82","90.3","82  +2"
"85","270","Pat Bryant","DEN","12","","75","","117","79","91","90.5","76  +9"
"86","272","Darius Slayton","NYG","14","","100","","95","84","83","90.5","87  -1"
"87","280","Michael Wilson","ARI","8","","95","","103","88","81","91.8","79  +8"
"88","275","Dyami Brown","JAC","8","","92","","115","81","80","92.0","84  +4"
"89","277","Jalen Royals","KC","10","","82","","141","86","78","96.8","85  +4"
"90","291","Tyler Lockett","TEN","10","","74","","71","","89","78.0","74  +16"
"91","311","Luke McCaffrey","WAS","12","70","","","93","","97","86.7",""
"92","301","Jalen Coker","CAR","14","","87","","108","","74","89.7","80  +12"
"93","308","Ray-Ray McCloud III","ATL","5","","","","102","77","95","91.3",""
"94","316","Tre Tucker","LV","8","","","","88","91","96","91.7",""
"95","318","JuJu Smith-Schuster","KC","10","71","","","75","","132","92.7",""
"96","310","Diontae Johnson","CLE","9","","109","","82","","87","92.7","93  +3"
"97","297","Kayshon Boutte","NE","14","","139","","126","75","103","110.8",""
"98","327","Elijah Moore","BUF","7","77","","","85","","121","94.3",""
"99","293","Dontayvion Wicks","GB","5","","110","","97","","77","94.7",""
"100","325","Tank Dell","HOU","6","68","","","76","","142","95.3",""
"101","323","Jalen Nailor","MIN","6","","","","96","90","102","96.0",""
"102","321","Amari Cooper","LV","8","","91","","119","","85","98.3","75  +27"
"103","339","Jahan Dotson","PHI","9","66","","","86","","152","101.3",""
"104","338","Efton Chism III","NE","14","67","","","94","","143","101.3",""
"105","336","Hunter Renfrow","CAR","14","69","","","106","","129","101.3",""
"106","331","Tutu Atwell","LAR","8","","127","","98","","90","105.0",""
"107","312","Marquez Valdes-Scantling","SEA","8","","131","","91","","98","106.7",""
"108","346","Olamide Zaccheaus","CHI","5","86","","","124","","118","109.3",""
"109","341","KeAndre Lambert-Smith","LAC","12","76","","","136","","117","109.7",""
"110","349","Tim Patrick","DET","8","83","","","100","","146","109.7",""
"111","348","Jalen Tolbert","DAL","10","","","","83","","84","83.5",""
"112","360","Jimmy Horn Jr.","CAR","14","80","","","89","","","84.5",""
"113","352","KaVontae Turpin","DAL","10","","","","72","","106","89.0",""
"114","358","Jake Bobo","SEA","8","78","","","104","","161","114.3",""
"115","343","Christian Watson","GB","5","","118","","116","","109","114.3",""
"116","354","John Metchie III","PHI","9","84","","","125","","135","114.7",""
"117","366","Odell Beckham Jr.","","","72","","","109","","","90.5",""
"118","361","Tez Johnson","TB","9","81","","","154","","115","116.7",""
"119","367","Nick Westbrook-Ikhine","MIA","12","","","","87","","105","96.0",""
"120","383","Mack Hollins","NE","14","93","","","114","","154","120.3",""
"121","369","Brandin Cooks","NO","11","","","","90","","107","98.5",""
"122","374","Jalin Hyatt","NYG","14","88","","","139","","136","121.0",""
"123","378","Allen Lazard","NYJ","9","","","","101","","101","101.0",""
"124","373","Devaughn Vele","NO","11","","","","111","","92","101.5",""
"125","396","Mitchell Tinsley","CIN","10","73","","","132","","","102.5",""
"126","390","David Moore","CAR","14","95","","","123","","153","123.7",""
"127","399","Skyy Moore","SF","14","89","","","146","","138","124.3",""
"128","389","Isaiah Bond","CLE","9","79","","","176","","134","129.7",""
"129","380","Xavier Restrepo","TEN","10","","112","","152","","116","126.7",""
"130","404","Kalif Raymond","DET","8","97","","","120","","164","127.0",""
"131","365","Jordan Whittington","LAR","8","","128","","140","","113","127.0",""
"132","441","Equanimeous St. Brown","","","75","","","156","","","115.5",""
"133","381","Demarcus Robinson","SF","14","","","","110","","122","116.0",""
"134","442","LaJohntay Wester","BAL","7","100","","","135","","","117.5",""
"135","438","Braxton Berrios","HOU","6","74","","","190","","","132.0",""
"136","412","Parker Washington","JAC","8","","","","131","","110","120.5",""
"137","469","Kadarius Toney","","","98","","","145","","","121.5",""
"138","416","Malik Washington","MIA","12","","","","133","","111","122.0",""
"139","499","D.J. Montgomery","IND","11","91","","","157","","","124.0",""
"140","462","John Ross","","","85","","","","","","85.0",""
"141","467","Jermaine Jackson","","","87","","","","","","87.0",""
"142","502","Lucky Jackson","MIN","6","92","","","169","","","130.5",""
"143","440","Talolo Limu-Jones","","","","93","","","","","93.0",""
"144","505","Julio Jones","","","94","","","","","","94.0",""
"145","445","JoJo Ward","","","","96","","","","","96.0",""
"146","446","Alexander Hollins","","","","97","","","","","97.0",""
"147","451","Darrell Stewart Jr.","","","","98","","","","","98.0",""
"148","448","Noah Brown","WAS","12","","","","122","","141","131.5",""
"149","520","Jared Wayne","","","99","","","326","","","212.5",""
"150","455","Phillip Brooks","","","","101","","","","","101.0",""
"151","417","Curtis Samuel","BUF","7","","","","121","","145","133.0",""
"152","431","Savion Williams","GB","5","","","","260","","104","182.0",""
"153","472","Andre Patton","","","","106","","","","","106.0",""
"154","477","Josh Vann","","","","107","","","","","107.0",""
"155","478","Tai Felton","MIN","6","","","","174","","108","141.0",""
"156","500","Josh Reynolds","NYJ","9","","","","155","","120","137.5",""
"157","487","Scotty Washington","BAL","7","","111","","","","","111.0",""
"158","485","Gabe Davis","","","","","","291","","112","201.5",""
"159","449","Sterling Shepard","TB","9","","","","113","","","113.0",""
"160","488","Ahmad Wagner","","","","113","","","","","113.0",""
"161","490","Chad Williams","","","","114","","","","","114.0",""
"162","492","Ricky White III","SEA","8","","","","272","","114","193.0",""
"163","494","Kenny Stills","","","","115","","","","","115.0",""
"164","410","Robert Woods","PIT","5","","","","127","","155","141.0",""
"165","434","Jermaine Burton","CIN","10","","142","","150","","158","150.0",""
"166","504","Trey Quinn","","","","121","","","","","121.0",""
"167","515","Darius Cooper","PHI","9","","","","153","","133","143.0",""
"168","507","Anthony Turner","","","","122","","","","","122.0",""
"169","525","Van Jefferson","TEN","10","","","","138","","150","144.0",""
"170","510","Maurice Alexander","CHI","5","","123","","317","","","220.0",""
"171","425","Jha","","'Quan Jackson","","","","","","331","","123","227.0",""
"172","519","George Campbell","","","","","","","","124","124.0",""
