"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","120.7","1,586.1","12.2","1.6","12.7","0.0","0.6","232.2"
"Justin Jefferson","MIN","105.2","1,459.6","9.6","0.5","2.2","0.0","0.6","202.5"
"CeeDee Lamb","DAL","110.9","1,385.7","8.0","9.2","59.3","0.3","1.0","192.1"
"Puka Nacua","LAR","104.9","1,362.7","6.9","10.7","61.2","0.6","0.6","186.2"
"Malik Nabers","NYG","107.0","1,343.3","8.2","2.6","12.2","0.0","0.6","183.8"
"Nico Collins","HOU","92.1","1,311.9","8.9","0.0","1.6","0.0","0.5","183.6"
"Brian Thomas Jr.","JAC","91.9","1,298.2","8.6","3.8","24.9","0.0","0.6","182.7"
"Amon-Ra St. Brown","DET","110.3","1,263.3","8.8","1.9","12.6","0.1","0.9","178.9"
"A.J. Brown","PHI","84.9","1,243.6","8.4","0.0","0.0","0.0","0.9","172.7"
"Drake London","ATL","95.9","1,232.8","8.2","0.3","2.0","0.0","0.6","171.5"
"Tyreek Hill","MIA","94.2","1,182.8","7.7","7.2","40.7","0.1","0.6","168.3"
"Mike Evans","TB","79.7","1,071.3","9.9","0.0","0.0","0.0","0.5","165.8"
"Ladd McConkey","LAC","90.5","1,209.4","7.4","0.0","1.4","0.0","0.7","163.9"
"Tee Higgins","CIN","86.6","1,099.8","8.9","0.0","0.0","0.0","0.9","161.7"
"Davante Adams","LAR","85.2","1,100.3","8.3","0.3","0.0","0.0","0.5","159.1"
"Terry McLaurin","WAS","82.8","1,103.4","8.0","1.1","4.8","0.0","0.9","157.3"
"DK Metcalf","PIT","77.8","1,137.8","7.3","0.0","1.2","0.0","1.3","154.9"
"Marvin Harrison Jr.","ARI","78.9","1,090.2","7.6","0.0","3.2","0.0","1.0","153.1"
"Jaxon Smith-Njigba","SEA","93.7","1,102.8","6.6","2.7","20.7","0.0","0.6","150.8"
"Xavier Worthy","KC","72.0","894.8","7.2","15.4","84.4","1.5","0.5","149.0"
"Zay Flowers","BAL","75.9","1,033.4","6.3","8.2","48.4","0.1","0.5","145.6"
"Courtland Sutton","DEN","76.4","1,013.4","7.4","0.0","0.2","0.0","0.9","143.9"
"DJ Moore","CHI","87.1","1,013.6","6.3","9.5","53.8","0.1","0.9","143.7"
"Jameson Williams","DET","60.8","963.5","6.1","7.4","63.4","0.8","0.5","143.2"
"Garrett Wilson","NYJ","90.5","1,082.4","6.0","1.9","13.5","0.0","1.3","142.8"
"Calvin Ridley","TEN","70.0","1,025.4","6.0","5.6","33.4","0.3","0.9","141.8"
"George Pickens","DAL","69.2","1,012.7","6.4","1.0","6.2","0.0","0.9","138.7"
"DeVonta Smith","PHI","81.2","976.9","6.8","0.3","1.2","0.0","0.5","137.6"
"Jerry Jeudy","CLE","82.0","1,105.0","4.1","0.3","4.8","0.0","0.6","134.7"
"Deebo Samuel Sr.","WAS","65.0","829.6","5.1","29.2","124.2","1.2","1.0","131.3"
"Tetairoa McMillan","CAR","73.7","962.1","5.8","0.5","7.4","0.0","1.2","129.3"
"Jaylen Waddle","MIA","75.5","965.3","4.9","2.5","16.1","0.1","0.5","126.6"
"Matthew Golden","GB","64.1","891.2","6.0","0.5","9.4","0.0","0.8","124.3"
"Travis Hunter","JAC","68.5","890.2","5.2","3.8","21.7","0.1","0.8","121.5"
"Jakobi Meyers","LV","78.6","916.8","4.9","1.2","8.9","0.0","0.5","120.8"
"Rome Odunze","CHI","65.7","885.7","5.4","1.3","8.0","0.0","0.9","119.8"
"Jauan Jennings","SF","66.8","879.8","5.2","2.4","10.8","0.1","0.6","119.6"
"Chris Olave","NO","76.9","947.3","4.4","0.3","2.8","0.0","1.3","119.1"
"Ricky Pearsall","SF","60.6","816.6","5.1","7.0","54.0","0.3","0.6","118.7"
"Rashid Shaheed","NO","58.0","861.7","4.9","7.7","47.2","0.1","1.3","118.4"
"Keon Coleman","BUF","52.4","824.1","6.1","0.3","3.8","0.0","0.5","118.4"
"Jayden Reed","GB","54.9","736.0","5.3","11.8","93.5","0.7","0.9","117.5"
"Rashee Rice","KC","70.9","831.8","5.8","1.1","4.5","0.0","0.6","117.4"
"Stefon Diggs","NE","77.5","852.1","5.2","1.3","6.9","0.2","0.5","117.1"
